,DATE,Price
617,2018-06-01,247.391
618,2018-07-01,248.533
619,2018-08-01,249.18
620,2018-09-01,248.003
621,2018-10-01,247.474
622,2018-11-01,248.401
623,2018-12-01,248.956
624,2019-01-01,249.801
625,2019-02-01,250.649
626,2019-03-01,249.918
627,2019-04-01,249.022
628,2019-05-01,249.687
629,2019-06-01,247.905
630,2019-07-01,248.377
631,2019-08-01,247.82
632,2019-09-01,248.969
633,2019-10-01,249.966
634,2019-11-01,251.024
635,2019-12-01,254.554
636,2020-01-01,254.549
637,2020-02-01,255.55
638,2020-03-01,255.786
639,2020-04-01,266.128
640,2020-05-01,274.559
641,2020-06-01,279.461
642,2020-07-01,269.051
643,2020-08-01,265.554
644,2020-09-01,264.56
645,2020-10-01,264.94
646,2020-11-01,265.878
647,2020-12-01,266.186
648,2021-01-01,267.722
649,2021-02-01,268.978
650,2021-03-01,269.755
651,2021-04-01,271.341
652,2021-05-01,274.89
653,2021-06-01,281.243
654,2021-07-01,284.818
655,2021-08-01,286.905
656,2021-09-01,292.182
657,2021-10-01,296.212
658,2021-11-01,299.879
659,2021-12-01,299.604
660,2022-01-01,300.622
661,2022-02-01,304.029
662,2022-03-01,306.799
663,2022-04-01,310.28
664,2022-05-01,313.944
665,2022-06-01,314.138
666,2022-07-01,315.797
667,2022-08-01,317.433
668,2022-09-01,318.374
669,2022-10-01,319.917
670,2022-11-01,320.034
671,2022-12-01,322.507
672,2023-01-01,324.815
