,date_time,All Items - Index (1982-1984=100),All Items - Pct_Change (Yearly),All Items - Pct_Change (Monthly)
606,1997-07-01,160.4,2.165605095541401,0.12484394506866447
607,1997-08-01,160.8,2.2900763358778775,0.24937655860348684
608,1997-09-01,161.2,2.21940393151554,0.24875621890545485
609,1997-10-01,161.5,2.0859671302149163,0.18610421836229296
610,1997-11-01,161.7,1.8903591682419618,0.12383900928791824
611,1997-12-01,161.8,1.6970458830924073,0.06184291898578831
612,1998-01-01,162.0,1.6311166875784044,0.12360939431395046
613,1998-02-01,162.0,1.440200375704448,0.0
614,1998-03-01,162.0,1.3767209011263937,0.0
615,1998-04-01,162.2,1.4383989993745905,0.12345679012344402
616,1998-05-01,162.6,1.6885553470919357,0.2466091245376223
617,1998-06-01,162.8,1.6229712858926382,0.12300123001232066
618,1998-07-01,163.2,1.74563591022443,0.24570024570023108
619,1998-08-01,163.4,1.6169154228855787,0.1225490196078427
620,1998-09-01,163.5,1.4267990074441794,0.0611995104039087
621,1998-10-01,163.9,1.4860681114551078,0.24464831804280607
622,1998-11-01,164.1,1.4842300556586308,0.12202562538132788
623,1998-12-01,164.4,1.606922126081578,0.1828153564899626
624,1999-01-01,164.7,1.6666666666666607,0.18248175182480342
625,1999-02-01,164.7,1.6666666666666607,0.0
626,1999-03-01,164.8,1.7283950617283939,0.06071645415908211
627,1999-04-01,165.9,2.281134401972884,0.6674757281553312
628,1999-05-01,166.0,2.091020910209096,0.06027727546713546
629,1999-06-01,166.0,1.9656019656019597,0.0
630,1999-07-01,166.7,2.1446078431372584,0.42168674698794817
631,1999-08-01,167.1,2.2643818849449104,0.23995200959807672
632,1999-09-01,167.8,2.629969418960254,0.418910831837227
633,1999-10-01,168.1,2.56253813300793,0.17878426698449967
634,1999-11-01,168.4,2.6203534430225606,0.17846519928614857
635,1999-12-01,168.8,2.676399026763998,0.23752969121140222
636,2000-01-01,169.3,2.792956891317555,0.2962085308056972
637,2000-02-01,170.0,3.2179720704310855,0.41346721795627595
638,2000-03-01,171.0,3.762135922330101,0.588235294117645
639,2000-04-01,170.9,3.013863773357439,-0.05847953216373547
