date_time,DJIA_Price,DJIA_Open,DJIA_High,DJIA_Low,DJIA_Vol.,DJIA_Change %
2018-01-01,26149.39,24809.35,26616.71,24741.7,9120000000.0,5.79
2017-12-01,24719.22,24305.4,24876.07,23921.9,6590000000.0,1.84
2017-11-01,24272.35,23442.9,24327.82,23242.75,7340000000.0,3.83
2017-10-01,23377.24,22423.47,23485.25,22416.0,7300000000.0,4.34
2017-09-01,22405.09,21981.77,22419.51,21709.63,6340000000.0,2.08
2017-08-01,21948.1,21961.42,22179.11,21600.34,6150000000.0,0.26
2017-07-01,21891.12,21392.3,21929.8,21279.3,5570000000.0,2.54
2017-06-01,21349.63,21030.55,21535.03,20994.22,7210000000.0,1.62
2017-05-01,21008.65,20962.73,21112.32,20553.45,6610000000.0,0.33
2017-04-01,20940.51,20665.17,21070.9,20379.55,5390000000.0,1.34
2017-03-01,20663.22,20957.29,21169.11,20412.8,6940000000.0,-0.72
2017-02-01,20812.24,19923.81,20851.33,19831.09,6190000000.0,4.77
2017-01-01,19864.09,19872.86,20125.58,19677.94,6480000000.0,0.51
2016-12-01,19762.6,19149.2,19987.63,19138.79,5950000000.0,3.34
2016-11-01,19123.58,18158.24,19225.29,17883.56,2110000000.0,5.41
2016-10-01,18142.42,18279.6,18399.96,17959.95,1790000000.0,-0.91
2016-09-01,18308.15,18396.57,18551.54,17992.21,2100000000.0,-0.5
2016-08-01,18400.88,18434.5,18668.44,18247.79,1700000000.0,-0.17
2016-07-01,18432.24,17924.24,18622.01,17713.45,1820000000.0,2.8
2016-06-01,17929.99,17754.55,18016.0,17063.08,2350000000.0,0.8
2016-05-01,17787.2,17783.78,17934.61,17331.07,1880000000.0,0.08
2016-04-01,17773.64,17661.74,18167.63,17484.23,2100000000.0,0.5
2016-03-01,17685.09,16545.67,17790.11,16545.67,2410000000.0,7.08
2016-02-01,16516.5,16453.63,16795.98,15503.01,2490000000.0,0.3
2016-01-01,16466.3,17405.48,17405.48,15450.56,2840000000.0,-5.5
2015-12-01,17425.03,17719.72,17901.58,17116.73,2520000000.0,-1.66
2015-11-01,17719.92,17672.62,17977.85,17210.43,2300000000.0,0.32
2015-10-01,17663.54,16278.62,17799.96,16013.66,2610000000.0,8.47
2015-09-01,16284.7,16528.03,16933.43,15942.37,2720000000.0,-1.47
2015-08-01,16528.03,17696.74,17704.76,15370.33,2730000000.0,-6.57
2015-07-01,17689.86,17638.12,18137.12,17399.17,2030000000.0,0.4
2015-06-01,17619.51,18017.82,18188.81,17576.5,2220000000.0,-2.17
2015-05-01,18010.68,17859.27,18351.36,17733.12,1830000000.0,0.95
2015-04-01,17840.52,17778.52,18175.56,17585.01,2170000000.0,0.36
2015-03-01,17776.12,18134.05,18288.63,17579.27,2470000000.0,-1.97
2015-02-01,18132.7,17169.99,18244.38,17037.76,1750000000.0,5.64
2015-01-01,17164.95,17823.07,17951.78,17136.3,2170000000.0,-3.69
2014-12-01,17823.07,17827.27,18103.45,17067.59,2220000000.0,-0.03
2014-11-01,17828.24,17390.9,17894.83,17278.36,1520000000.0,2.52
2014-10-01,17390.52,17040.46,17395.54,15855.12,2310000000.0,2.04
2014-09-01,17042.9,17097.42,17350.64,16934.43,1870000000.0,-0.32
2014-08-01,17098.45,16561.7,17153.8,16333.78,1480000000.0,3.23
2014-07-01,16563.3,16828.53,17151.56,16563.3,1690000000.0,-1.56
2014-06-01,16826.6,16716.85,16978.02,16673.65,1760000000.0,0.65
2014-05-01,16717.17,16580.26,16735.51,16341.3,1640000000.0,0.82
2014-04-01,16580.84,16458.05,16631.63,16015.32,1990000000.0,0.75
2014-03-01,16457.66,16321.71,16505.7,16046.99,2100000000.0,0.83
2014-02-01,16321.71,15697.69,16398.95,15340.69,2070000000.0,3.97
2014-01-01,15698.85,16572.17,16573.07,15617.55,2180000000.0,-5.3
2013-12-01,16576.66,16087.12,16588.25,15703.79,2060000000.0,3.05
2013-11-01,16086.41,15558.01,16174.51,15522.18,1820000000.0,3.48
2013-10-01,15545.75,15132.49,15721.0,14719.43,2210000000.0,2.75
2013-09-01,15129.67,14801.55,15709.58,14777.48,2370000000.0,2.16
2013-08-01,14810.31,15503.85,15658.43,14760.41,2330000000.0,-4.45
2013-07-01,15499.54,14911.6,15634.32,14858.93,2570000000.0,3.96
2013-06-01,14909.6,15123.55,15340.09,14551.27,2930000000.0,-1.36
2013-05-01,15115.57,14839.8,15542.4,14687.05,2770000000.0,1.86
2013-04-01,14839.8,14578.54,14887.51,14434.43,2920000000.0,1.79
2013-03-01,14578.54,14054.49,14585.1,13937.6,2550000000.0,3.73
2013-02-01,14054.49,13860.58,14149.15,13784.01,2490000000.0,1.4
2013-01-01,13860.58,13104.3,13969.99,13104.3,2790000000.0,5.77
2012-12-01,13104.14,13027.73,13365.86,12883.89,2670000000.0,0.6
2012-11-01,13025.58,13099.19,13290.75,12471.49,2680000000.0,-0.54
2012-10-01,13096.46,13437.66,13661.87,13039.86,2470000000.0,-2.54
2012-09-01,13437.13,13092.15,13653.24,12977.09,2700000000.0,2.65
2012-08-01,13090.84,13007.47,13330.76,12778.9,2270000000.0,0.63
2012-07-01,13008.68,12879.71,13128.64,12492.25,2580000000.0,1.0
2012-06-01,12880.09,12391.56,12898.94,12035.09,2920000000.0,3.93
2012-05-01,12393.45,13214.16,13338.66,12311.56,3050000000.0,-6.21
2012-04-01,13213.63,13211.36,13297.11,12710.56,2570000000.0,0.01
